Number,Student ID,Type,Pre/Post,Thinking
1,2227614,Mixed,Post,Mixed
2,2206097,Mixed,Pre,Developing
3,2120552,CC,Post,Mixed
4,2223292,CC,Post,Mixed
5,2215644,Research,Pre,Mixed
6,2227684,Mixed,Post,Mixed
7,2219032,CC,Post,Developing
8,2223869,CC,Post,Developing
9,2218290,Mixed,Post,Scientific
10,2218293,Mixed,Post,Scientific
11,2215582,Research,Post,Mixed
12,2215628,Mixed,Post,Scientific
13,2200313,Research,Pre,Developing
14,2219680,Mixed,Post,Scientific
15,2158499,CC,Post,Scientific
16,2176506,Mixed,Post,Mixed
17,2050922,Research,Post,Scientific
18,2215676,Research,Post,Scientific
19,2211828,Mixed,Post,Scientific
20,2211828,Mixed,Pre,Mixed
21,2198962,Research,Pre,Developing
22,2214922,Research,Post,Mixed
23,2168806,Research,Post,Mixed
24,2168806,Research,Pre,Developing
25,2216701,Mixed,Post,Developing
26,2222921,Mixed,Pre,Scientific
27,2223056,Mixed,Post,Developing
28,2209379,CC,Post,Mixed
29,2206097,Mixed,Post,Scientific
30,2208510,CC,Pre,Developing
31,2227453,Mixed,Pre,Developing
33,2210327,Mixed,Pre,Developing
34,2093954,Research,Post,Scientific
35,2211354,CC,Pre,Developing
36,2199847,Research,Pre,Scientific
37,2208655,Mixed,Post,Scientific
38,2208655,Mixed,Pre,Scientific
39,2167728,Research,Post,Mixed
40,2210476,CC,Post,Scientific
41,2210259,Mixed,Post,Developing
42,2223295,CC,Post,Developing
43,2211318,CC,Pre,Mixed
44,2208933,CC,Pre,Mixed
45,2223299,CC,Post,Mixed
46,2223061,Mixed,Post,Developing
47,2211370,CC,Pre,Developing
48,2219348,Mixed,Pre,Developing
49,2208069,Mixed,Pre,Scientific
50,2216421,Research,Post,Developing
51,2198617,Research,Pre,Mixed
52,2221816,Research,Post,Mixed
53,2212752,Mixed,Post,Mixed
54,2212752,Mixed,Pre,Mixed
55,2211318,CC,Post,Mixed
56,2158499,CC,Pre,Mixed
57,2203311,Research,Post,Mixed
58,2211363,CC,Post,Mixed
59,2211140,CC,Post,Mixed
60,2200483,Research,Post,Mixed
61,2227363,Mixed,Post,Mixed
62,2222805,Mixed,Post,Mixed
63,2210459,Mixed,Pre,Scientific
64,2210011,Mixed,Pre,Developing
65,2216070,Research,Post,Scientific
66,2200973,Research,Post,Scientific
67,2222622,Research,Pre,Developing
